05月11日 18:18	始终小幸运	如果我是严书记的老婆，我保证夹着尾巴做人，不给自己老公添半丁点麻烦 ​
05月11日 18:12	成都这点事	成都金苹果爱弥儿幼儿园对于今天网络热议的“严书记女儿”事件做出回应。 ​
05月11日 18:12	时间视频	【幼儿园老师因惩罚“严书记”孩子被开除？同事：好好的，没开除】10日，网传成都市一幼儿园老师在家长微信群称“让她（学生）单独坐一边”。该学生母亲称，你对“严书记”女儿说这话是什么意思？后又称该老师已经被开除。老师同事对@北京时间 称，该老师在正常上班，没有被开除。L时间视频的秒拍视频 ​
05月11日 18:10	往事归零爱恨随意9633	严夫人，你真牛逼。刚刚开除了陈老师，估计你家严书记的乌纱帽也让你给撸了！有些为陈老师的未来担心，就算被撸了，也还能使坏吧？！希望陈老师也能站出来，越公开越安全！#广安严书记# ​
05月11日 18:09	言法者	#我爸是严书记# 有三个问题:1.我很好奇为什么一个幼儿园的孩子就如此的蛮横，为什么会经常打人？2.严书记到底是怎么回事呢？3.#嘿呦猫咪# 幼儿园老师为何会被开除？ ​
05月11日 18:05	高贵的非会员	严书记再次让大家认识到家属才是反腐倡廉急先锋 ​
05月11日 18:04	著名枪迷	严书记的老婆火了，这种人典型的没脑子。也怪严书记平时没调教好，受了体制内的恩惠还特么这么高调！一个小孩的事儿搞得这么大，真牛，惹不起！ ​
05月11日 18:02	天府新城那些事儿	#成都蓝天# 除了严书记很火，今天成都的天空也很美，很蓝！下了几天雨，这样的蓝天确实洗眼睛！PS：图片来自各位城粉们，作者大大们自行认领哦～ ​
05月11日 20:59	An你说啥子喃	#金苹果幼儿园#今天算是见识了撤热搜的速度严书记厉害咯 ​
05月11日 20:56	柠檬树上的小橘子	#金苹果幼儿园# 严书记真的很厉害，过会儿就找不到评论了 L柠檬树上的小橘子的秒拍视频 ​
05月11日 20:53	Fly-Elevis	#广安严书记#多谢严书记二奶三奶四奶等，让我知道一个市委书记的红资是如此之高和手掌之宽 ​
05月11日 20:53	经济聊斋	说一下严书记的事情。这种事情其实严书记完全不知道，完全是败家老娘们搞出来的没有格局的事情。但是还是暴露了一些细节蛮有意思：书记68年生人，孩子幼儿园，四十五岁之后有孩子，是二胎吗？显然是开放二胎政策之后生的，因为开放二胎政策后上幼儿园的孩子，最快要到明天吧。如果是二婚生的一胎，按照 ​ 展开全文c
05月11日 20:52	腿长两米八的泰迪	因为严书记我喊了份盐酥鸡...活生生看饿 ​
