01月01日 16:13	晨小疯丶	『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 16:08	嘉美贝仔仔	#实名举报陈小武#来刷一波，希望赶紧调查清楚，这个教授到底有无师德，还原真相 ​
01月01日 16:05	碎碎念的老甘	北航女博士实名举报长江学者陈小武持续性骚扰女学生！抄送@北京航空航天大学 这位老师看来很禽兽啊，学校在这方面没有管理和反馈机制么？任由禽兽胡作非为！ ​
01月01日 16:05	用户1o46y3xvps	『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 16:05	旮旯视界	原文→_→→_→『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 16:04	我是阿连呀	这回逃不掉了吧，陈老师『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 16:02	骤雨初歇rain	『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 16:01	门铃猫	日常反黑『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 16:01	学生新鲜事	#实名举报陈小武# 对于这样的渣滓绝对不能姑息 『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』 ​『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生 ​
01月01日 18:58	网聚思想	#实名举报陈小武# 北航女博士实名举报长江学者陈小武持续性骚扰女学生 （来源：O女博士罗茜茜实名举报长江学者陈小武性骚扰女学生） ​
01月01日 18:57	北京航空航天大学	【声明】学校一直高度重视近期社交网络媒体关于我校教师陈小武师德师风的问题反映及实名举报，第一时间成立了工作组，迅速开展调查核实，并已暂停陈小武的工作。北京航空航天大学对违反师德师风的行为零容忍，有关情况一经查实，将坚决严肃处理，绝不姑息。 ​
01月01日 18:56	妖加两竖	真的希望这个话题可以获得他应该有的关注度看到热门话题全是各种明星 我想知道我们这个时代究竟是怎么了什么样的东西才是人们更应该去关注的 社会需要的是真相是人民的觉醒而不是对这些东西的漠视我追星但是我知道什么更重要 『女博士罗茜茜实名举报长江学者陈小武性骚扰女学生』 ​ 展开全文c
